Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides
Layer 1 - Key projection (per head),1,1,1,1,768,768,1
Layer 1 - Value projection (per head),1,1,1,1,768,768,1
Layer 1 - Attention output projection (concatenated),1,1,1,1,1024,64,1
Layer 1 - Attention output projection (concatenated),1,1,1,1,64,1024,1
Layer 1 - Feed-forward: First linear layer,1,1,1,1,3072,768,1
Layer 1 - Feed-forward: Second linear layer,1,1,1,1,3072,768,1
